2020-05-20,POLESOUT,35.0,0.007526000961661339,0.002206000965088606,3.0000870538060553e-05,-0.0022999991197139025,-0.0032099990639835596,0.0005320008494891226,-0.000903999141883105,0.0003260008816141635,0.0003500008606351912,0.00037400086876004934,-0.0027299991343170404,-7.999128683877643e-06,8.712959242984653e-10,0.0,0.018570000305771828
2020-06-02,POLESOUT,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,POLESOUT,88.8,,,,,,,,,,,,,,,
2010-10-20,KISSR0.0,9.85,,,,,,,,,,,,,,,
2010-12-15,KISSR0.0,4.65,,,,,,,,,,,,,,,
2011-01-04,KISSR0.0,4.95,,,,,,,,,,,,,,,
2011-02-14,KISSR0.0,10.35,,,,,,,,,,,,,,,
2011-03-08,KISSR0.0,9.8,,,,,,,,,,,,,,,
2011-04-18,KISSR0.0,22.35,,,,,,,,,,,,,,,
2011-05-09,KISSR0.0,24.1,,,,,,,,,,,,,,,
2011-06-07,KISSR0.0,25.3,,,,,,,,,,,,,,,
2011-07-12,KISSR0.0,15.4,,,,,,,,,,,,,,,
2011-08-02,KISSR0.0,13.8,,,,,,,,,,,,,,,
2011-09-19,KISSR0.0,9.27,,,,,,,,,,,,,,,
2011-10-10,KISSR0.0,5.12,,,,,,,,,,,,,,,
2011-11-14,KISSR0.0,5.74,,,,,,,,,,,,,,,
2011-12-06,KISSR0.0,5.78,,,,,,,,,,,,,,,
2011-12-06,KISSR0.0,6.05,,,,,,,,,,,,,,,
2011-12-06,KISSR0.0,6.4,,,,,,,,,,,,,,,
2012-01-24,KISSR0.0,5.46,,,,,,,,,,,,,,,
2012-02-06,KISSR0.0,6.75,,,,,,,,,,,,,,,
2012-03-20,KISSR0.0,14.6,,,,,,,,,,,,,,,
2012-04-03,KISSR0.0,11.9,,,,,,,,,,,,,,,
2012-05-21,KISSR0.0,11.2,,,,,,,,,,,,,,,
2012-06-11,KISSR0.0,19.9,,,,,,,,,,,,,,,
2012-06-11,KISSR0.0,18.9,,,,,,,,,,,,,,,
2012-06-11,KISSR0.0,19.2,,,,,,,,,,,,,,,
2012-07-17,KISSR0.0,8.37,,,,,,,,,,,,,,,
2012-09-19,KISSR0.0,6.26,,,,,,,,,,,,,,,
2012-10-09,KISSR0.0,1.97,,,,,,,,,,,,,,,
2012-11-27,KISSR0.0,1.56,,,,,,,,,,,,,,,
2012-12-11,KISSR0.0,2.5,,,,,,,,,,,,,,,
2012-12-11,KISSR0.0,2.4,,,,,,,,,,,,,,,
2012-12-11,KISSR0.0,2.2,,,,,,,,,,,,,,,
2013-01-08,KISSR0.0,4.66,,,,,,,,,,,,,,,
2013-02-11,KISSR0.0,3.24,,,,,,,,,,,,,,,
2013-03-27,KISSR0.0,9.75,,,,,,,,,,,,,,,
2013-03-27,KISSR0.0,10.6,,,,,,,,,,,,,,,
2013-03-27,KISSR0.0,9.38,,,,,,,,,,,,,,,
2013-04-08,KISSR0.0,9.6,,,,,,,,,,,,,,,
2013-05-14,KISSR0.0,15.1,,,,,,,,,,,,,,,
2013-06-03,KISSR0.0,29.5,,,,,,,,,,,,,,,
2013-06-03,KISSR0.0,26.8,,,,,,,,,,,,,,,
2013-06-03,KISSR0.0,25.9,,,,,,,,,,,,,,,
2013-07-17,KISSR0.0,14.8,,,,,,,,,,,,,,,
2013-08-06,KISSR0.0,5.07,,,,,,,,,,,,,,,
2013-09-17,KISSR0.0,6.9,,,,,,,,,,,,,,,
2013-09-17,KISSR0.0,6.3,,,,,,,,,,,,,,,
2013-09-17,KISSR0.0,6.63,,,,,,,,,,,,,,,
2013-10-01,KISSR0.0,7.38,,,,,,,,,,,,,,,
2013-11-12,KISSR0.0,11.4,,,,,,,,,,,,,,,
2013-12-04,KISSR0.0,6.45,,,,,,,,,,,,,,,
2013-12-04,KISSR0.0,6.89,,,,,,,,,,,,,,,
2013-12-04,KISSR0.0,7.08,,,,,,,,,,,,,,,
2014-01-14,KISSR0.0,4.4,,,,,,,,,,,,,,,
2014-02-05,KISSR0.0,15.1,,,,,,,,,,,,,,,
2014-03-11,KISSR0.0,8.72,,,,,,,,,,,,,,,
2014-03-11,KISSR0.0,9.69,,,,,,,,,,,,,,,
2014-03-11,KISSR0.0,9.07,,,,,,,,,,,,,,,
2014-04-15,KISSR0.0,17.7,,,,,,,,,,,,,,,
2014-05-14,KISSR0.0,18.4,,,,,,,,,,,,,,,
2014-06-04,KISSR0.0,16.6,,,,,,,,,,,,,,,
2014-06-04,KISSR0.0,17.5,,,,,,,,,,,,,,,
2014-06-04,KISSR0.0,19.6,,,,,,,,,,,,,,,
2014-07-15,KISSR0.0,23.0,,,,,,,,,,,,,,,
2014-08-05,KISSR0.0,9.93,,,,,,,,,,,,,,,
2014-09-02,KISSR0.0,11.4,,,,,,,,,,,,,,,
2014-09-02,KISSR0.0,9.99,,,,,,,,,,,,,,,
2014-09-02,KISSR0.0,11.9,,,,,,,,,,,,,,,
2014-10-07,KISSR0.0,5.91,,,,,,,,,,,,,,,
2014-11-04,KISSR0.0,5.79,,,,,,,,,,,,,,,
2014-12-02,KISSR0.0,17.4,,,,,,,,,,,,,,,
2014-12-02,KISSR0.0,15.2,,,,,,,,,,,,,,,
2014-12-02,KISSR0.0,15.9,,,,,,,,,,,,,,,
2015-01-06,KISSR0.0,7.77,,,,,,,,,,,,,,,
2015-02-03,KISSR0.0,3.68,,,,,,,,,,,,,,,
2015-03-03,KISSR0.0,7.65,,,,,,,,,,,,,,,
2015-03-03,KISSR0.0,7.27,,,,,,,,,,,,,,,
2015-03-03,KISSR0.0,7.29,,,,,,,,,,,,,,,
2015-04-07,KISSR0.0,8.18,,,,,,,,,,,,,,,
2015-05-12,KISSR0.0,9.4,,,,,,,,,,,,,,,
2015-05-12,KISSR0.0,0.037000000000000005,,,,,,,,,,,,,,,
2015-06-03,KISSR0.0,26.9,,,,,,,,,,,,,,,
2015-06-03,KISSR0.0,30.0,,,,,,,,,,,,,,,
2015-06-03,KISSR0.0,34.8,,,,,,,,,,,,,,,
2015-07-08,KISSR0.0,12.8,,,,,,,,,,,,,,,
2015-08-04,KISSR0.0,28.0,,,,,,,,,,,,,,,
2015-09-01,KISSR0.0,24.9,,,,,,,,,,,,,,,
2015-09-01,KISSR0.0,24.7,,,,,,,,,,,,,,,
2015-09-01,KISSR0.0,23.2,,,,,,,,,,,,,,,
2015-10-06,KISSR0.0,5.08,,,,,,,,,,,,,,,
2015-11-04,KISSR0.0,14.0,,,,,,,,,,,,,,,
2015-12-01,KISSR0.0,4.99,,,,,,,,,,,,,,,
2015-12-01,KISSR0.0,5.12,,,,,,,,,,,,,,,
2015-12-01,KISSR0.0,4.97,,,,,,,,,,,,,,,
2016-01-11,KISSR0.0,9.82,,,,,,,,,,,,,,,
2016-02-02,KISSR0.0,8.27,,,,,,,,,,,,,,,
2016-03-01,KISSR0.0,11.9,,,,,,,,,,,,,,,
2016-03-01,KISSR0.0,14.5,,,,,,,,,,,,,,,
2016-03-01,KISSR0.0,11.0,,,,,,,,,,,,,,,
2016-04-05,KISSR0.0,8.04,,,,,,,,,,,,,,,
2016-05-03,KISSR0.0,18.0,,,,,,,,,,,,,,,
2016-06-14,KISSR0.0,15.8,,,,,,,,,,,,,,,
2016-06-14,KISSR0.0,14.1,,,,,,,,,,,,,,,
2016-06-14,KISSR0.0,16.4,,,,,,,,,,,,,,,
2016-07-11,KISSR0.0,16.6,,,,,,,,,,,,,,,
2016-08-02,KISSR0.0,27.1,,,,,,,,,,,,,,,
2016-09-06,KISSR0.0,25.4,,,,,,,,,,,,,,,
2016-09-06,KISSR0.0,25.5,,,,,,,,,,,,,,,
2016-09-06,KISSR0.0,22.1,,,,,,,,,,,,,,,
2016-10-18,KISSR0.0,18.0,,,,,,,,,,,,,,,
2016-11-01,KISSR0.0,10.3,,,,,,,,,,,,,,,
2016-12-07,KISSR0.0,23.9,,,,,,,,,,,,,,,
2016-12-07,KISSR0.0,25.9,,,,,,,,,,,,,,,
2016-12-07,KISSR0.0,26.4,,,,,,,,,,,,,,,
2016-12-07,KISSR0.0,0.091,,,,,,,,,,,,,,,
2017-01-09,KISSR0.0,15.8,,,,,,,,,,,,,,,
2017-02-07,KISSR0.0,15.1,,,,,,,,,,,,,,,
2017-03-22,KISSR0.0,0.035,,,,,,,,,,,,,,,
2017-03-22,KISSR0.0,14.1,,,,,,,,,,,,,,,
2017-03-22,KISSR0.0,13.3,,,,,,,,,,,,,,,
2017-03-22,KISSR0.0,12.3,,,,,,,,,,,,,,,
2017-04-17,KISSR0.0,18.5,,,,,,,,,,,,,,,
2017-05-23,KISSR0.0,37.4,,,,,,,,,,,,,,,
2017-06-20,KISSR0.0,49.6,,,,,,,,,,,,,,,
2017-07-10,KISSR0.0,26.1,,,,,,,,,,,,,,,
2017-07-10,KISSR0.0,0.06,,,,,,,,,,,,,,,
2017-08-14,KISSR0.0,11.8,,,,,,,,,,,,,,,
2017-08-14,KISSR0.0,16.4,,,,,,,,,,,,,,,
2017-08-14,KISSR0.0,17.1,,,,,,,,,,,,,,,
2017-09-18,KISSR0.0,15.5,,,,,,,,,,,,,,,
2017-10-10,KISSR0.0,6.42,,,,,,,,,,,,,,,
2017-11-07,KISSR0.0,8.84,,,,,,,,,,,,,,,
2017-12-05,KISSR0.0,8.76,,,,,,,,,,,,,,,
2017-12-05,KISSR0.0,10.1,,,,,,,,,,,,,,,
2017-12-05,KISSR0.0,8.36,,,,,,,,,,,,,,,
2018-01-17,KISSR0.0,6.94,,,,,,,,,,,,,,,
2018-02-06,KISSR0.0,8.8,,,,,,,,,,,,,,,
2018-03-06,KISSR0.0,7.56,,,,,,,,,,,,,,,
2018-03-06,KISSR0.0,7.23,,,,,,,,,,,,,,,
2018-03-06,KISSR0.0,7.2,,,,,,,,,,,,,,,
2018-04-03,KISSR0.0,16.4,,,,,,,,,,,,,,,
2018-05-01,KISSR0.0,33.0,,,,,,,,,,,,,,,
2018-06-05,KISSR0.0,12.8,,,,,,,,,,,,,,,
2018-06-05,KISSR0.0,13.3,,,,,,,,,,,,,,,
2018-06-05,KISSR0.0,14.3,,,,,,,,,,,,,,,
2018-07-17,KISSR0.0,21.2,,,,,,,,,,,,,,,
2018-08-14,KISSR0.0,0.018000000000000002,,,,,,,,,,,,,,,
2018-08-14,KISSR0.0,21.8,,,,,,,,,,,,,,,
2018-09-04,KISSR0.0,11.7,,,,,,,,,,,,,,,
2018-09-04,KISSR0.0,11.7,,,,,,,,,,,,,,,
2018-09-04,KISSR0.0,11.7,,,,,,,,,,,,,,,
2018-10-16,KISSR0.0,19.4,,,,,,,,,,,,,,,
2018-11-06,KISSR0.0,19.7,,,,,,,,,,,,,,,
2018-12-04,KISSR0.0,17.9,,,,,,,,,,,,,,,
2018-12-04,KISSR0.0,16.9,,,,,,,,,,,,,,,
2018-12-04,KISSR0.0,17.5,,,,,,,,,,,,,,,
2019-01-08,KISSR0.0,22.2,,,,,,,,,,,,,,,
2019-02-12,KISSR0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-12,KISSR0.0,20.5,0.006478000897914171,0.00388400093652308,0.004892000928521156,0.00530000077560544,0.004946000874042511,0.005710000637918711,0.0058680009096860886,0.006034000776708126,0.006048000883311033,0.006110000889748335,0.005166000686585903,0.0036700009368360043,0.0019400009186938405,-0.004869998898357153,-0.00021599912724923342
2019-03-12,KISSR0.0,23.0,0.006478000897914171,0.00388400093652308,0.004892000928521156,0.00530000077560544,0.004946000874042511,0.005710000637918711,0.0058680009096860886,0.006034000776708126,0.006048000883311033,0.006110000889748335,0.005166000686585903,0.0036700009368360043,0.0019400009186938405,-0.004869998898357153,-0.00021599912724923342
2019-03-12,KISSR0.0,21.8,0.006478000897914171,0.00388400093652308,0.004892000928521156,0.00530000077560544,0.004946000874042511,0.005710000637918711,0.0058680009096860886,0.006034000776708126,0.006048000883311033,0.006110000889748335,0.005166000686585903,0.0036700009368360043,0.0019400009186938405,-0.004869998898357153,-0.00021599912724923342
2019-04-02,KISSR0.0,22.2,,,,,,,,,,,,,,,
2019-05-08,KISSR0.0,28.3,,,,,,,,,,,,,,,
2019-05-08,KISSR0.0,27.7,,,,,,,,,,,,,,,
2019-05-08,KISSR0.0,26.6,,,,,,,,,,,,,,,
2019-06-05,KISSR0.0,31.3,0.013114000670611858,0.009006001055240631,0.008580001071095467,0.007644000928848982,0.007244000677019358,0.007548000663518906,0.00668000103905797,0.006100000813603401,0.006058000959455967,0.005922000855207443,0.004624000750482082,0.0028620008379220963,0.001430000877007842,-0.004057999234646559,0.0004560008819680661
2019-07-09,KISSR0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-06,KISSR0.0,32.1,,,,,,,,,,,,,,,
2019-08-06,KISSR0.0,34.1,,,,,,,,,,,,,,,
2019-08-06,KISSR0.0,32.0,,,,,,,,,,,,,,,
2019-09-09,KISSR0.0,8.0,0.007316000759601593,0.004748000763356686,0.004762000869959593,0.0046820007264614105,0.004786001052707434,0.005948001053184271,0.005270001012831926,0.00503400107845664,0.004732000641524792,0.004792000632733107,0.005116000771522522,0.0028080008924007416,0.0014660009182989597,-0.0025259992107748985,0.0002540008572395891
2019-10-01,KISSR0.0,16.2,,,,,,,,,,,,,,,
2019-11-05,KISSR0.0,30.5,,,,,,,,,,,,,,,
2019-11-05,KISSR0.0,25.9,,,,,,,,,,,,,,,
2019-11-05,KISSR0.0,26.0,,,,,,,,,,,,,,,
2019-12-03,KISSR0.0,14.3,-0.002049999078735709,-0.003711999161168933,-0.0014319991460070014,0.00043800086132250726,0.001152000855654478,0.003228000830858946,0.0036600008606910706,0.004132000729441643,0.004064000677317381,0.0043580010533332825,0.0058040008880198,0.003404000774025917,0.0018760008970275521,-0.0025519991759210825,-0.0010499991476535797
2020-01-14,KISSR0.0,17.4,0.0031700008548796177,0.0012080008164048195,0.002468000864610076,0.0038040007930248976,0.003960000816732645,0.005504000931978226,0.005880001001060009,0.006444000639021397,0.006390000693500042,0.006490000989288092,0.0056160008534789085,0.003276000963523984,0.0017040008679032326,-0.004027999006211758,-0.00021999912860337645
2020-02-04,KISSR0.0,13.1,,,,,,,,,,,,,,,
2020-02-04,KISSR0.0,7.95,,,,,,,,,,,,,,,
2020-02-04,KISSR0.0,14.1,,,,,,,,,,,,,,,
2020-02-12,KISSR0.0,19.3,,,,,,,,,,,,,,,
2020-02-12,KISSR0.0,17.7,,,,,,,,,,,,,,,
2020-02-12,KISSR0.0,18.5,,,,,,,,,,,,,,,
2020-02-12,KISSR0.0,0.018000000000000002,,,,,,,,,,,,,,,
2020-03-10,KISSR0.0,12.2,,,,,,,,,,,,,,,
2020-04-07,KISSR0.0,35.3,,,,,,,,,,,,,,,
2020-05-05,KISSR0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,KISSR0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,KISSR0.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,KISSR0.0,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,KISSR0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,KISSR0.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,KISSR0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,KISSR0.0,13.2,,,,,,,,,,,,,,,
2020-06-23,KISSR0.0,0.037000000000000005,,,,,,,,,,,,,,,
2010-10-20,LZ2,12.25,,,,,,,,,,,,,,,
2010-12-15,LZ2,2.1,,,,,,,,,,,,,,,
2011-01-04,LZ2,5.3,,,,,,,,,,,,,,,
2011-02-14,LZ2,3.65,,,,,,,,,,,,,,,
2011-03-08,LZ2,7.35,,,,,,,,,,,,,,,
2011-04-18,LZ2,11.05,,,,,,,,,,,,,,,
2011-05-09,LZ2,9.4,,,,,,,,,,,,,,,
2011-06-06,LZ2,8.24,,,,,,,,,,,,,,,
2011-07-11,LZ2,54.9,,,,,,,,,,,,,,,
2011-08-01,LZ2,42.6,,,,,,,,,,,,,,,
2011-09-20,LZ2,6.97,,,,,,,,,,,,,,,
2011-10-11,LZ2,20.5,,,,,,,,,,,,,,,
2011-11-14,LZ2,1.57,,,,,,,,,,,,,,,
2011-12-06,LZ2,3.5,,,,,,,,,,,,,,,
2012-01-24,LZ2,9.62,,,,,,,,,,,,,,,
2012-02-06,LZ2,3.53,,,,,,,,,,,,,,,
2012-03-20,LZ2,5.8,,,,,,,,,,,,,,,
2012-04-03,LZ2,8.22,,,,,,,,,,,,,,,
2012-05-22,LZ2,16.8,,,,,,,,,,,,,,,
2012-06-12,LZ2,15.9,,,,,,,,,,,,,,,
2012-07-17,LZ2,27.6,,,,,,,,,,,,,,,
2012-08-14,LZ2,12.0,,,,,,,,,,,,,,,
2012-09-19,LZ2,16.4,,,,,,,,,,,,,,,
2012-10-09,LZ2,11.2,,,,,,,,,,,,,,,
2012-11-27,LZ2,9.98,,,,,,,,,,,,,,,
2012-12-11,LZ2,3.11,,,,,,,,,,,,,,,
2013-01-08,LZ2,1.51,,,,,,,,,,,,,,,
2013-02-11,LZ2,6.02,,,,,,,,,,,,,,,
2013-03-27,LZ2,3.15,,,,,,,,,,,,,,,
2013-04-08,LZ2,9.6,,,,,,,,,,,,,,,
2013-05-14,LZ2,5.15,,,,,,,,,,,,,,,
2013-06-03,LZ2,33.8,,,,,,,,,,,,,,,
2013-07-17,LZ2,6.04,,,,,,,,,,,,,,,
2013-08-06,LZ2,10.0,,,,,,,,,,,,,,,
2013-09-17,LZ2,15.7,,,,,,,,,,,,,,,
2013-10-01,LZ2,19.2,,,,,,,,,,,,,,,
2013-11-12,LZ2,5.95,,,,,,,,,,,,,,,
2013-12-04,LZ2,7.2,,,,,,,,,,,,,,,
2014-01-14,LZ2,3.33,,,,,,,,,,,,,,,
